idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1554771730,traffic_light,2208.20,751.86,"['376385690#2_0', '219719293#5_0']","[':1554771730_0_0', ':1554771730_1_0', ':1554771730_2_0', ':1554771730_3_0']"
1554771754,priority,2204.61,639.99,['410961935#2_0'],"[':1554771754_0_0', ':1554771754_1_0']"
1554771766,priority,2203.24,755.11,"['395173809#1_0', '219719293#4_0']","[':1554771766_0_0', ':1554771766_1_0', ':1554771766_2_0', ':1554771766_3_0']"
1554771787,right_before_left,2195.32,770.25,"['219719293#3_0', '142052154_0']","[':1554771787_0_0', ':1554771787_1_0']"
1554771789,priority,2185.81,776.45,"['-142052143#0_0', '142052139_0']","[':1554771789_0_0', ':1554771789_4_0', ':1554771789_2_0', ':1554771789_5_0']"
1554771795,right_before_left,2109.24,789.79,"['142052149#3_0', '-142052138#0_0']","[':1554771795_0_0', ':1554771795_1_0', ':1554771795_2_0', ':1554771795_3_0']"
1554771796,right_before_left,2171.24,777.06,"['-142052139_0', '142052132#2_0']","[':1554771796_0_0', ':1554771796_1_0', ':1554771796_2_0', ':1554771796_3_0']"
1554771845,traffic_light,2211.71,770.52,"['376385690#1_0', '-142052143#2_0', '142052143#1_0']","[':1554771845_0_0', ':1554771845_1_0', ':1554771845_2_0', ':1554771845_3_0', ':1554771845_9_0', ':1554771845_10_0', ':1554771845_6_0', ':1554771845_7_0', ':1554771845_11_0']"
1554771925,priority,2224.47,746.96,"['410115139_0', '219719293#7_0']","[':1554771925_0_0', ':1554771925_1_0']"
1554782447,right_before_left,1997.06,809.39,"['142053898_0', '142052138#2_0', '-142052138#3_0']","[':1554782447_0_0', ':1554782447_1_0', ':1554782447_2_0', ':1554782447_3_0', ':1554782447_4_0', ':1554782447_5_0', ':1554782447_6_0', ':1554782447_7_0', ':1554782447_8_0']"
1554782457,priority,2055.35,799.20,"['142053901_0', '142052138#0_0', '-142052138#1_0']","[':1554782457_0_0', ':1554782457_1_0', ':1554782457_2_0', ':1554782457_6_0', ':1554782457_4_0', ':1554782457_7_0']"
1554782468,priority,2188.68,771.41,['142053895#3_0'],[':1554782468_0_0']
1554782507,right_before_left,2021.13,783.36,"['142053903#1_0', '-142053903#2_0']","[':1554782507_0_0', ':1554782507_1_0', ':1554782507_2_0', ':1554782507_3_0', ':1554782507_4_0', ':1554782507_5_0', ':1554782507_6_0', ':1554782507_7_0']"
1554782508,right_before_left,2044.86,747.28,"['142053894#1_0', '142053902#0_0']","[':1554782508_0_0', ':1554782508_1_0']"
1554782510,priority,2144.57,785.63,"['142053896_0', '142052149#1_0']","[':1554782510_0_0', ':1554782510_1_0']"
1554782513,right_before_left,2035.60,748.45,"['142053902#1_0', '142053899#1_0']","[':1554782513_0_0', ':1554782513_1_0']"
